Itemset,Support
"frozenset({'Cumuration3_S', 'Label_1', 'Duration_2_SS', 'Cumuration2_SS', 'Duration_1_SS', 'Cumuration2_S'})",0.002625565217391304
"frozenset({'Duration_3_M', 'Cumuration3_S', 'Label_1', 'Cumuration2_SS', 'Duration_1_SS'})",0.0013359782608695651
"frozenset({'Cumuration2_SS', 'Duration_3_M', 'Duration_1_SS', 'Label_1'})",0.0013359782608695651
"frozenset({'Cumuration3_M', 'Duration_3_M', 'Label_1', 'Cumuration1_SS'})",0.0013359782608695651
"frozenset({'Duration_2_S', 'Label_1', 'Duration_2_SS', 'Cumuration1_SS', 'Duration_3_SS', 'Cumuration2_SS', 'Cumuration3_SS'})",0.002625565217391304
"frozenset({'Duration_3_M', 'Label_1', 'Cumuration1_SS', 'Cumuration3_M', 'Cumuration2_SS', 'Duration_3_S'})",0.0013359782608695651
"frozenset({'Cumuration3_S', 'Label_1', 'Duration_3_SS', 'Cumuration2_SS', 'Duration_1_SS', 'Duration_3_S'})",0.0015006521739130434
"frozenset({'Duration_3_M', 'Cumuration3_S', 'Label_1', 'Duration_2_SS', 'Cumuration2_SS'})",0.0013359782608695651
"frozenset({'Cumuration2_SS', 'Duration_2_S', 'Label_1', 'Duration_3_SS'})",0.002625565217391304
"frozenset({'Cumuration3_S', 'Duration_2_SS', 'Label_1', 'Duration_1_SS', 'Cumuration3_SS', 'Cumuration2_S'})",0.002625565217391304
"frozenset({'Duration_2_S', 'Label_1', 'Cumuration1_SS', 'Cumuration2_SS', 'Cumuration3_SS', 'Cumuration2_S'})",0.002625565217391304
"frozenset({'Duration_3_M', 'Cumuration3_S', 'Label_1', 'Cumuration3_M', 'Cumuration2_SS', 'Duration_1_SS', 'Duration_3_S'})",0.0013359782608695651
"frozenset({'Cumuration3_S', 'Label_1', 'Cumuration3_M', 'Cumuration2_SS', 'Duration_1_SS', 'Duration_3_S'})",0.0013359782608695651
"frozenset({'Cumuration3_S', 'Label_1', 'Cumuration3_M', 'Cumuration2_SS', 'Duration_3_S'})",0.0013359782608695651
"frozenset({'Duration_2_S', 'Cumuration3_S', 'Label_1', 'Duration_2_SS', 'Duration_3_SS', 'Cumuration2_SS', 'Cumuration3_SS'})",0.002625565217391304
"frozenset({'Cumuration2_SS', 'Label_1', 'Duration_2_SS', 'Cumuration3_M'})",0.0013359782608695651
